2023-05-06 16:46:17.737 [main] INFO  c.e.v.VvspringbatchApplication - Starting VvspringbatchApplication using Java 11.0.16.1 on DESKTOP-B0C49SI with PID 22640 (C:\Users\Dell\IdeaProjects\vvspringbatch\target\classes started by Dell in C:\Users\Dell\IdeaProjects\vvspringbatch)
2023-05-06 16:46:22.116 [main] INFO  c.e.v.EmployeeItemProcessor - ********************************************************************************************************************
2023-05-06 16:46:22.116 [main] INFO  c.e.v.EmployeeItemProcessor - ********************************************************************************************************************
2023-05-06 16:46:22.116 [main] INFO  c.e.v.EmployeeItemProcessor - ********************************************************************************************************************
2023-05-06 16:46:22.116 [main] INFO  c.e.v.EmployeeItemProcessor - process
2023-05-06 16:46:22.116 [main] INFO  c.e.v.EmployeeItemProcessor - ********************************************************************************************************************
2023-05-06 16:46:22.116 [main] INFO  c.e.v.EmployeeItemProcessor - ********************************************************************************************************************
2023-05-06 16:46:22.144 [main] INFO  o.s.batch.core.step.AbstractStep - Step: [step1] executed in 87ms
2023-05-06 16:46:22.152 [main] INFO  c.e.v.JobCompletionNotificationListener - ********************************************************************************************************************
2023-05-06 16:46:22.152 [main] INFO  c.e.v.JobCompletionNotificationListener - ********************************************************************************************************************
2023-05-06 16:46:22.152 [main] INFO  c.e.v.JobCompletionNotificationListener - afterJob
2023-05-06 16:46:22.152 [main] INFO  c.e.v.JobCompletionNotificationListener - ********************************************************************************************************************
2023-05-06 16:46:22.152 [main] INFO  c.e.v.JobCompletionNotificationListener - ********************************************************************************************************************
2023-05-06 16:46:22.153 [main] INFO  c.e.v.JobCompletionNotificationListener - Job completed successfully!
2023-05-06 16:46:22.160 [main] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [FlowJob: [name=importEmployeeJob]] completed with the following parameters: [{run.id=12}] and the following status: [COMPLETED] in 130ms
2023-05-06 16:46:22.167 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-05-06 16:46:22.170 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-05-06 16:46:22.189 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
